nohup: ignoring input
Epoch:5/60 || Epochiter:16/23 || loss:0.4854||Batchtime:0.1391||ETA:0:02:57
Epoch:5/60 || Epochiter:17/23 || loss:0.4968||Batchtime:0.1509||ETA:0:03:11
Epoch:5/60 || Epochiter:18/23 || loss:0.5837||Batchtime:0.2340||ETA:0:04:57
Epoch:5/60 || Epochiter:19/23 || loss:0.5687||Batchtime:0.1591||ETA:0:03:22
Epoch:5/60 || Epochiter:20/23 || loss:0.5005||Batchtime:0.1668||ETA:0:03:31
Epoch:5/60 || Epochiter:21/23 || loss:0.5575||Batchtime:0.1559||ETA:0:03:17
Epoch:5/60 || Epochiter:22/23 || loss:0.5762||Batchtime:0.1554||ETA:0:03:16
Epoch:5/60 || Epochiter:23/23 || loss:0.5094||Batchtime:0.1358||ETA:0:02:51
valid_loss:0.004509379621595144,valid_access:0.7674603174603175
Epoch:6/60 || Epochiter:1/23 || loss:0.4947||Batchtime:3.1931||ETA:1:07:19
Epoch:6/60 || Epochiter:2/23 || loss:0.5692||Batchtime:0.0998||ETA:0:02:06
Epoch:6/60 || Epochiter:3/23 || loss:0.5953||Batchtime:0.0988||ETA:0:02:04
Epoch:6/60 || Epochiter:4/23 || loss:0.5078||Batchtime:0.1528||ETA:0:03:12
Epoch:6/60 || Epochiter:5/23 || loss:0.5171||Batchtime:0.0994||ETA:0:02:05
Epoch:6/60 || Epochiter:6/23 || loss:0.5194||Batchtime:0.0981||ETA:0:02:03
Epoch:6/60 || Epochiter:7/23 || loss:0.5419||Batchtime:0.1000||ETA:0:02:05
Epoch:6/60 || Epochiter:8/23 || loss:0.4866||Batchtime:0.1169||ETA:0:02:27
Epoch:6/60 || Epochiter:9/23 || loss:0.5359||Batchtime:0.1288||ETA:0:02:41
Epoch:6/60 || Epochiter:10/23 || loss:0.6039||Batchtime:0.1358||ETA:0:02:50
Epoch:6/60 || Epochiter:11/23 || loss:0.5235||Batchtime:0.1360||ETA:0:02:50
Epoch:6/60 || Epochiter:12/23 || loss:0.4871||Batchtime:0.1193||ETA:0:02:29
Epoch:6/60 || Epochiter:13/23 || loss:0.5463||Batchtime:0.6878||ETA:0:14:21
Epoch:6/60 || Epochiter:14/23 || loss:0.5139||Batchtime:0.1161||ETA:0:02:25
Epoch:6/60 || Epochiter:15/23 || loss:0.4632||Batchtime:0.1385||ETA:0:02:53
Epoch:6/60 || Epochiter:16/23 || loss:0.5366||Batchtime:0.1391||ETA:0:02:53
Epoch:6/60 || Epochiter:17/23 || loss:0.4956||Batchtime:0.1785||ETA:0:03:42
Epoch:6/60 || Epochiter:18/23 || loss:0.5181||Batchtime:0.1229||ETA:0:02:33
Epoch:6/60 || Epochiter:19/23 || loss:0.4763||Batchtime:0.1413||ETA:0:02:56
Epoch:6/60 || Epochiter:20/23 || loss:0.5153||Batchtime:0.1259||ETA:0:02:36
Epoch:6/60 || Epochiter:21/23 || loss:0.6078||Batchtime:0.1169||ETA:0:02:25
Epoch:6/60 || Epochiter:22/23 || loss:0.4742||Batchtime:0.1359||ETA:0:02:49
Epoch:6/60 || Epochiter:23/23 || loss:0.7296||Batchtime:0.1447||ETA:0:02:59
valid_loss:0.003950914368033409,valid_access:0.792063492063492
Epoch:7/60 || Epochiter:1/23 || loss:0.5228||Batchtime:2.0291||ETA:0:42:00
Epoch:7/60 || Epochiter:2/23 || loss:0.5760||Batchtime:0.8625||ETA:0:17:50
Epoch:7/60 || Epochiter:3/23 || loss:0.5000||Batchtime:0.0989||ETA:0:02:02
Epoch:7/60 || Epochiter:4/23 || loss:0.4769||Batchtime:0.0893||ETA:0:01:50
Epoch:7/60 || Epochiter:5/23 || loss:0.4411||Batchtime:0.1303||ETA:0:02:41
Epoch:7/60 || Epochiter:6/23 || loss:0.5305||Batchtime:0.1057||ETA:0:02:10
Epoch:7/60 || Epochiter:7/23 || loss:0.5051||Batchtime:0.1184||ETA:0:02:26
Epoch:7/60 || Epochiter:8/23 || loss:0.5784||Batchtime:0.1127||ETA:0:02:19
Epoch:7/60 || Epochiter:9/23 || loss:0.4799||Batchtime:0.1139||ETA:0:02:20
Epoch:7/60 || Epochiter:10/23 || loss:0.5445||Batchtime:0.1231||ETA:0:02:31
Epoch:7/60 || Epochiter:11/23 || loss:0.4327||Batchtime:0.1067||ETA:0:02:11
Epoch:7/60 || Epochiter:12/23 || loss:0.4399||Batchtime:0.0875||ETA:0:01:47
Epoch:7/60 || Epochiter:13/23 || loss:0.5784||Batchtime:0.1134||ETA:0:02:19
Epoch:7/60 || Epochiter:14/23 || loss:0.5386||Batchtime:1.1437||ETA:0:23:25
Epoch:7/60 || Epochiter:15/23 || loss:0.5165||Batchtime:0.1331||ETA:0:02:43
Epoch:7/60 || Epochiter:16/23 || loss:0.5695||Batchtime:0.1369||ETA:0:02:47
Epoch:7/60 || Epochiter:17/23 || loss:0.5284||Batchtime:0.1287||ETA:0:02:37
Epoch:7/60 || Epochiter:18/23 || loss:0.4831||Batchtime:0.1215||ETA:0:02:28
Epoch:7/60 || Epochiter:19/23 || loss:0.5172||Batchtime:0.1581||ETA:0:03:13
Epoch:7/60 || Epochiter:20/23 || loss:0.4040||Batchtime:0.1342||ETA:0:02:44
Epoch:7/60 || Epochiter:21/23 || loss:0.5337||Batchtime:0.1411||ETA:0:02:52
Epoch:7/60 || Epochiter:22/23 || loss:0.5286||Batchtime:0.1270||ETA:0:02:35
Epoch:7/60 || Epochiter:23/23 || loss:0.5461||Batchtime:0.1316||ETA:0:02:40
valid_loss:0.003987984266132116,valid_access:0.7888888888888889
Epoch:8/60 || Epochiter:1/23 || loss:0.5638||Batchtime:2.2367||ETA:0:45:26
Epoch:8/60 || Epochiter:2/23 || loss:0.5526||Batchtime:0.9965||ETA:0:20:13
Epoch:8/60 || Epochiter:3/23 || loss:0.5921||Batchtime:0.0993||ETA:0:02:00
Epoch:8/60 || Epochiter:4/23 || loss:0.4318||Batchtime:0.0998||ETA:0:02:01
Epoch:8/60 || Epochiter:5/23 || loss:0.5668||Batchtime:0.1555||ETA:0:03:08
Epoch:8/60 || Epochiter:6/23 || loss:0.4684||Batchtime:0.0999||ETA:0:02:01
Epoch:8/60 || Epochiter:7/23 || loss:0.4914||Batchtime:0.0996||ETA:0:02:00
